P1_001N,P13_001N,P11_001N,P11_002N,P11_005N,P11_006N,P11_008N,geo_id
16,52.3,10,0,5,0,2,421010319004003
85,37.5,66,10,42,10,3,421010319004006
148,36.8,113,21,61,31,0,421010319004007
42,22.5,27,13,3,8,1,421010319004008
139,34.2,102,49,18,35,0,421010319004009
127,32.5,96,43,28,20,3,421010319004010
41,34.8,24,7,10,5,0,421010319004011
31,26.1,20,6,8,4,1,421010319004012
25,39.3,17,2,4,10,0,421010319004013
144,32.0,97,7,35,52,0,421010319005000
101,47.5,87,1,69,4,13,421010359002021
557,40.6,479,7,258,43,154,421010359002018
130,42.8,105,8,66,2,26,421010359002019
95,49.5,73,0,59,1,13,421010359002020
16,20.5,9,0,6,0,0,421010359002022
92,49.5,76,17,38,0,18,421010359002023
51,58.1,45,1,21,5,13,421010359002024
43,45.5,35,4,27,2,0,421010359002025
121,52.3,106,13,44,37,9,421010360001001
66,47.0,49,4,34,0,11,421010360001002
50,65.7,43,3,25,0,15,421010360001003
75,54.9,58,7,28,0,19,421010360001004
29,27.5,25,1,23,0,0,421010360001005
41,42.1,40,0,35,4,0,421010360001006
88,48.2,79,3,34,3,35,421010360001007
44,60.0,40,0,37,0,3,421010360001008
219,78.9,210,13,169,24,0,421010360001009
198,69.6,187,15,120,21,30,421010360001010
93,37.1,68,4,32,0,29,421010360001011
43,23.5,26,3,2,8,11,421010360001012
20,36.0,16,5,1,3,7,421010360001013
235,41.1,180,4,51,3,120,421010360002000
158,45.2,135,12,29,46,41,421010360002001
82,55.5,61,4,50,1,6,421010360002002
107,49.4,85,0,41,7,31,421010360002003
177,37.7,131,4,54,17,56,421010360002004
67,54.8,59,5,10,4,40,421010360002005
32,38.0,19,0,17,1,0,421010360002006
282,72.8,273,7,243,13,3,421010360002007
45,38.5,33,0,18,0,8,421010360002008
30,25.0,22,19,0,2,1,421010176011030
53,32.5,40,31,2,7,0,421010176011031
58,32.0,37,34,0,3,0,421010176011034
41,29.3,29,29,0,0,0,421010176012001
36,55.5,32,24,0,4,2,421010176012002
20,27.3,11,11,0,0,0,421010176012003
101,35.8,74,64,3,0,4,421010176012004
90,44.5,70,46,6,17,1,421010176012005
168,37.8,139,9,56,56,10,421010238002003
76,51.3,73,4,39,20,0,421010238002000
109,40.9,92,1,58,25,3,421010238002001
220,38.0,200,7,62,123,0,421010238002002
128,38.0,102,7,43,35,0,421010238002004
48,41.5,36,3,16,15,0,421010238002005
119,45.8,105,0,27,77,0,421010238003000
88,46.3,82,4,24,49,5,421010238003001
115,38.5,94,8,24,51,0,421010238003002
98,42.3,81,2,14,55,0,421010238003003
188,44.0,157,10,59,76,0,421010238003004
235,42.9,217,8,110,84,2,421010238003005
215,37.0,188,7,47,123,7,421010238004000
56,41.5,42,9,23,2,1,421010238004001
246,49.3,218,9,81,109,2,421010238004002
320,34.7,279,1,101,163,8,421010238004003
27,46.5,19,2,3,11,0,421010238004004
58,34.9,39,0,16,22,0,421010238004005
137,36.5,100,9,22,64,0,421010238005000
101,32.7,67,7,24,32,1,421010238005001
148,35.0,112,5,28,73,2,421010238005002
96,37.5,77,1,38,31,0,421010238005003
357,71.4,329,0,144,170,4,421010238005004
312,37.3,269,6,37,214,5,421010238005005
86,35.4,70,12,9,39,4,421010239001000
51,29.5,42,4,10,22,1,421010239001001
289,73.1,282,4,26,239,2,421010239001002
324,55.0,293,9,39,233,0,421010239001003
117,37.1,92,3,38,39,3,421010239001004
87,61.7,83,2,38,33,4,421010239001005
67,47.5,54,3,15,32,0,421010239001006
130,39.0,104,0,3,95,0,421010267001006
22,65.0,16,4,7,1,0,421010360002009
38,54.0,37,4,0,3,30,421010360002010
185,44.6,144,9,65,6,64,421010360002011
118,33.5,93,3,34,10,46,421010360002012
1,23.5,1,0,1,0,0,421010378005022
21,37.5,21,0,16,0,0,421010378005025
85,35.9,80,5,63,0,5,421010378005026
115,35.9,109,16,72,12,2,421010378005027
6,25.0,5,4,0,1,0,421010378006001
10,42.5,9,3,5,1,0,421010378007003
65,28.2,64,1,55,4,4,421010378008000
88,34.0,73,1,68,0,0,421010378008001
119,37.4,102,10,70,10,9,421010378008002
60,37.5,49,3,43,1,2,421010378008003
45,46.4,43,2,36,0,2,421010378008004
33,32.3,31,4,24,3,0,421010378008010
132,33.6,97,1,4,91,1,421010267001003
131,40.2,95,0,0,90,0,421010267001004
187,36.4,127,0,5,112,2,421010267001005
54,49.5,50,0,0,47,0,421010267001007
169,31.8,127,7,0,118,0,421010267001008
137,52.4,107,5,2,97,1,421010267001009
149,48.5,123,1,0,122,0,421010267001010
163,34.3,136,9,1,126,0,421010267001011
166,44.7,134,6,0,128,0,421010267001012
241,33.8,174,0,0,172,1,421010267001013
113,29.9,85,0,0,77,0,421010267001014
126,37.0,91,0,2,85,0,421010267001015
120,32.6,90,0,0,90,0,421010267001016
106,26.8,80,0,0,76,0,421010267001017
136,52.3,111,2,0,108,0,421010267001018
123,56.3,101,1,5,91,4,421010267001019
86,34.5,59,0,0,52,1,421010267002000
89,39.8,74,5,1,66,2,421010267002001
90,33.5,71,4,2,64,0,421010267002002
67,35.5,43,8,1,33,1,421010267002003
9,27.8,7,2,0,0,0,421010267002004
104,42.5,69,3,0,65,0,421010267002005
129,42.4,107,0,0,106,0,421010267002006
117,45.3,100,3,0,93,0,421010267002007
119,45.1,104,9,0,85,0,421010267002008
171,47.4,125,0,0,122,0,421010267002009
179,34.1,125,12,3,109,0,421010267002010
177,36.9,137,0,0,131,6,421010267002011
142,34.0,106,2,2,101,0,421010267002012
120,35.3,96,2,0,94,0,421010267002013
152,39.5,114,5,0,103,0,421010267002014
152,35.1,119,5,0,114,0,421010267002015
158,40.8,129,0,6,120,0,421010267002016
121,35.9,97,1,0,96,0,421010267002017
60,46.0,47,29,0,14,0,421010287001008
20,26.3,13,11,0,1,0,421010287001006
15,46.5,12,1,0,6,0,421010287001007
126,56.7,105,60,0,45,0,421010287001009
57,40.5,40,32,0,8,0,421010287001010
93,30.5,61,41,9,9,0,421010287001011
62,39.5,56,47,0,8,1,421010287001012
83,31.8,57,40,0,15,2,421010287001013
45,44.3,35,28,0,6,1,421010287001014
112,29.8,91,66,0,18,7,421010287001015
90,32.0,66,61,0,4,0,421010287001017
28,26.3,22,15,0,6,1,421010287001018
40,29.6,34,28,0,2,3,421010287001020
34,25.8,28,22,0,2,2,421010287001021
55,24.5,33,26,0,5,0,421010287001022
133,36.2,93,59,0,30,0,421010287001023
89,22.8,55,38,2,10,3,421010287001024
71,29.8,45,34,0,11,0,421010287001025
152,28.7,100,79,0,21,0,421010287001026
8,52.0,8,5,0,2,1,421010287002004
142,27.9,102,57,11,30,4,421010287002007
64,31.0,36,22,3,10,1,421010287002008
71,21.2,52,42,2,8,0,421010287002009
153,37.4,119,89,6,22,0,421010287002010
164,38.3,122,100,2,10,3,421010287002011
76,37.0,48,29,0,17,0,421010287002012
28,19.5,15,3,0,4,5,421010315011008
198,29.5,143,18,64,15,36,421010315011005
108,36.8,82,9,56,4,11,421010315011006
85,34.3,58,6,32,5,10,421010315011007
193,36.5,140,24,64,12,30,421010315011010
114,25.8,70,23,17,3,23,421010315011011
226,34.2,150,25,71,2,49,421010315012000
222,31.4,151,31,62,13,35,421010315012001
189,38.3,149,33,76,1,32,421010315012002
224,39.5,173,26,86,7,48,421010315012003
173,31.4,126,22,61,11,31,421010315012004
229,36.9,161,24,69,29,33,421010315012005
233,27.7,150,27,64,8,42,421010315012006
182,32.3,139,16,67,7,31,421010315012007
147,40.1,111,13,79,0,15,421010315012008
196,34.9,157,29,88,15,24,421010315012009
174,42.3,144,31,55,20,32,421010315012010
160,37.8,117,27,61,8,18,421010315012011
138,31.6,104,23,52,12,13,421010315012012
255,31.9,192,39,96,18,37,421010315012013
218,30.3,139,16,70,16,31,421010315012014
242,33.5,158,34,74,10,37,421010315012015
107,23.5,65,10,40,4,11,421010315012016
126,30.5,81,22,31,8,18,421010315012017
144,34.7,118,26,32,22,33,421010315012018
21,29.3,14,0,11,0,1,421010315012019
47,30.5,35,7,5,7,11,421010315012020
50,26.0,40,20,10,0,7,421010315012021
211,38.9,155,21,66,0,45,421010315013000
159,31.4,114,8,55,2,39,421010315013001
160,40.8,116,15,33,12,50,421010315013002
148,26.0,111,18,55,3,24,421010315013003
58,34.5,50,2,37,1,9,421010338001018
180,41.1,137,14,57,54,8,421010338001015
114,35.3,90,22,22,17,15,421010338001016
82,34.0,69,10,38,8,11,421010338001017
52,36.3,45,13,18,10,0,421010338001019
87,26.5,66,11,34,9,1,421010338001020
63,28.2,49,10,25,1,13,421010338001021
54,25.0,33,13,9,6,5,421010338001022
51,50.5,49,5,33,7,0,421010338001023
49,38.1,47,5,33,0,6,421010338002000
131,38.6,104,12,66,18,5,421010338002001
88,45.8,78,6,63,7,0,421010338002002
34,19.9,23,6,16,0,1,421010338002003
99,35.8,76,10,51,9,2,421010338002004
92,33.5,69,3,42,17,4,421010338002005
124,45.4,89,15,58,12,0,421010338002006
128,42.0,91,7,62,8,10,421010338002007
113,31.5,77,15,52,7,0,421010338002008
99,34.3,75,6,55,1,13,421010338002009
105,51.9,97,9,64,16,2,421010338002010
109,29.7,80,10,46,22,0,421010338002011
18,40.5,12,6,3,2,0,421010338002012
39,17.3,16,4,6,0,5,421010338002014
147,37.4,119,18,71,21,6,421010338002015
141,41.1,106,12,61,17,14,421010338002016
103,29.3,77,8,48,18,1,421010338002017
82,47.0,75,18,35,18,0,421010338002018
88,40.7,74,3,50,5,15,421010338002019
74,25.0,65,10,49,2,2,421010338002020
121,35.8,83,13,52,7,5,421010338002021
95,37.6,68,7,42,13,6,421010338002022
145,36.9,114,13,67,24,4,421010338002023
141,29.6,91,23,41,16,8,421010338002024
123,38.1,102,18,48,24,2,421010338002025
110,32.8,93,21,42,11,13,421010025004003
273,28.5,165,8,8,132,14,421010025004000
194,32.8,152,13,103,14,18,421010025004001
247,20.2,136,10,3,112,6,421010025004002
120,31.0,103,1,83,9,0,421010025004004
70,35.7,60,6,31,12,7,421010025004005
81,29.4,71,1,48,6,10,421010025004006
113,31.3,88,6,60,4,18,421010025004007
61,30.5,57,9,25,15,0,421010025004008
26,26.0,21,7,7,7,0,421010025004009
32,30.5,22,2,8,2,8,421010025004010
163,32.6,141,13,99,6,21,421010027011000
131,30.9,113,7,73,8,24,421010027011001
146,33.6,129,18,60,25,18,421010027011002
164,44.0,150,3,63,23,47,421010027011003
162,31.6,123,33,52,9,27,421010027011004
153,35.9,120,37,26,6,47,421010027011005
96,35.0,91,19,34,19,16,421010027011006
93,33.1,85,2,60,6,16,421010027011007
106,30.0,83,16,53,8,3,421010027011008
97,38.5,89,22,45,1,16,421010027011009
125,31.8,94,13,48,13,15,421010027011010
89,35.7,80,17,39,8,16,421010027011011
72,33.0,60,13,28,4,13,421010027011012
92,32.5,66,18,13,17,12,421010027011013
110,34.4,83,43,18,10,8,421010027011014
109,29.4,90,13,54,14,2,421010027011015
158,38.0,123,21,53,28,19,421010027011016
151,35.9,108,57,26,7,15,421010027011017
37,30.5,32,9,2,4,11,421010027012000
98,43.4,89,17,27,26,16,421010027012001
94,41.8,83,14,53,6,5,421010027012002
119,33.8,98,3,62,8,25,421010027012003
154,26.7,101,0,3,94,1,421010082001000
177,27.7,113,0,0,113,0,421010081024009
162,43.5,120,5,7,107,0,421010081024010
156,30.3,116,6,0,103,0,421010081024011
158,37.5,112,0,4,103,2,421010082001001
140,45.4,108,2,0,98,0,421010082001002
107,37.0,95,4,79,1,5,421010017002006
171,29.9,137,9,123,0,2,421010017002007
53,30.9,48,2,42,0,3,421010017002008
69,29.6,46,5,38,2,0,421010017002010
57,43.4,55,1,44,5,5,421010017002011
62,40.7,50,1,30,6,6,421010017002012
83,34.4,77,8,56,0,5,421010017002013
125,35.2,101,6,72,13,5,421010017002014
37,31.3,30,0,22,4,3,421010017002015
142,35.8,114,3,99,6,4,421010017002016
96,28.0,81,6,5,58,0,421010093004004
128,36.0,94,5,1,82,3,421010093004005
85,39.2,74,0,10,56,3,421010093004006
115,36.1,89,1,2,83,2,421010093005000
133,40.4,103,1,1,98,0,421010093005001
72,38.0,52,1,0,50,0,421010093005003
154,45.0,119,4,0,108,3,421010093005004
79,32.1,62,0,4,55,0,421010093005005
57,42.5,51,8,0,41,0,421010093005006
132,37.5,101,2,0,91,5,421010082001003
106,46.3,82,0,0,78,0,421010082001004
154,42.5,126,3,3,116,0,421010082001005
171,33.5,127,0,0,123,0,421010082001006
135,28.5,93,2,0,84,0,421010082002000
177,42.1,146,0,1,144,1,421010082002001
226,34.6,181,0,10,169,1,421010082002002
190,33.0,135,4,4,113,2,421010082002003
161,38.1,107,1,0,95,2,421010082002004
158,31.5,124,0,0,101,0,421010082002005
140,31.0,112,2,4,98,0,421010082003000
189,40.3,134,2,1,123,0,421010082003001
160,41.3,122,6,1,111,2,421010082003002
160,33.6,126,2,6,115,0,421010082003003
151,50.5,115,0,6,104,0,421010082003004
160,41.2,136,9,0,123,0,421010082003005
144,54.4,114,9,0,101,1,421010082003006
156,34.0,114,0,1,107,0,421010082004000
130,40.3,104,0,0,102,0,421010082004001
164,50.3,135,0,8,121,0,421010082004002
95,51.5,72,3,2,65,0,421010082004003
59,57.6,46,2,0,39,0,421010082004005
94,25.0,65,0,3,61,0,421010082004006
89,34.6,74,0,0,73,0,421010082004007
114,32.5,71,2,0,66,0,421010082005000
99,36.6,73,0,0,71,0,421010082005001
69,49.3,63,5,0,54,0,421010082005002
178,37.0,136,5,15,110,0,421010093003005
128,30.6,98,1,14,77,3,421010093003002
78,39.3,60,0,3,53,1,421010093003003
104,30.1,88,11,4,68,0,421010093003004
69,48.9,52,0,1,47,0,421010093003006
83,54.2,77,7,2,61,0,421010093004000
153,35.3,104,3,5,94,0,421010093004001
113,39.3,85,0,1,84,0,421010093004002
141,23.2,93,1,0,89,0,421010093004003
61,45.3,50,1,47,2,0,421010017002017
51,29.1,39,6,31,0,0,421010018001000
281,40.9,222,2,193,6,11,421010018001001
104,34.8,87,3,77,2,5,421010018001002
93,28.6,74,0,65,0,5,421010018001003
66,52.0,62,3,50,2,7,421010018001004
134,35.0,115,5,96,0,10,421010018001005
62,36.0,55,7,47,0,1,421010018001006
77,33.6,64,6,52,0,6,421010018001007
84,30.0,77,4,67,4,2,421010018001008
54,35.5,44,1,37,0,6,421010018001009
91,36.8,77,5,63,5,0,421010018001010
37,72.1,35,0,24,3,8,421010018001011
32,28.6,29,0,21,2,0,421010018001012
89,29.5,69,4,48,7,4,421010018001013
96,36.3,85,0,66,2,10,421010018001014
70,29.8,60,2,43,2,6,421010018001015
11,70.3,11,0,8,3,0,421010018001016
57,33.2,51,3,39,0,8,421010018001017
55,38.9,49,4,40,0,4,421010018001018
13,42.5,13,0,7,2,0,421010018001019
61,36.8,44,2,34,2,5,421010018001020
80,40.2,70,4,56,2,4,421010018001021
68,46.0,60,0,55,0,2,421010018001022
102,56.7,90,2,83,0,5,421010039022015
52,64.5,47,0,42,0,0,421010039022016
32,48.5,27,2,21,0,1,421010039022017
95,48.8,91,7,79,0,0,421010039022019
129,48.9,112,6,98,0,3,421010039022020
120,53.3,108,4,95,0,4,421010039022021
115,41.9,103,3,100,0,0,421010039022022
123,46.1,103,1,93,0,6,421010039022023
96,29.2,85,10,74,1,0,421010039022024
170,46.3,127,0,119,0,6,421010039022027
79,49.3,68,0,64,0,4,421010039022028
79,51.5,67,0,64,0,3,421010039022029
46,31.0,37,6,29,0,0,421010039022030
101,45.8,86,2,78,4,1,421010039023001
94,35.6,75,2,71,0,2,421010039023002
116,35.9,95,0,84,0,7,421010039023003
93,41.8,77,0,75,0,0,421010039023004
124,55.3,101,0,97,1,0,421010039023005
142,43.4,121,0,113,0,6,421010039023006
124,37.3,97,0,93,0,3,421010039023007
132,34.0,86,4,12,68,0,421010093005007
137,32.3,97,2,0,91,0,421010093005008
132,31.0,100,0,0,93,3,421010093005009
87,36.1,66,1,4,58,0,421010093005010
134,24.0,85,3,0,78,0,421010093005011
202,33.4,146,3,0,142,0,421010094001000
50,37.0,39,2,0,31,0,421010094001002
65,31.9,56,7,0,32,0,421010094001003
119,37.9,95,2,0,83,2,421010094001004
53,27.5,37,1,0,29,6,421010094001005
137,39.1,83,3,0,76,2,421010094001006
103,28.6,62,0,3,56,0,421010094002000
135,34.1,94,3,6,83,0,421010094002001
143,40.4,108,2,5,100,0,421010094002002
113,28.3,86,1,0,80,0,421010094002003
46,21.0,27,5,0,21,0,421010132001017
66,22.5,37,0,5,32,0,421010132001014
41,66.2,33,5,4,24,0,421010132001015
57,47.8,40,3,8,29,0,421010132001016
154,68.0,152,4,2,136,2,421010132001018
96,15.0,45,3,2,39,0,421010132001019
34,28.3,27,3,1,22,0,421010132001020
118,30.0,117,9,62,28,6,421010132002000
18,23.0,10,1,5,1,2,421010132002002
35,37.3,32,5,11,4,12,421010132003000
108,35.6,100,9,41,10,34,421010132003001
118,28.7,107,19,42,23,22,421010132003002
107,29.3,100,11,50,29,9,421010132003003
31,38.6,30,3,16,9,2,421010132003006
54,30.5,39,8,6,8,10,421010132003007
57,27.7,56,6,32,0,18,421010132003008
11,28.5,10,1,4,5,0,421010132003010
82,26.6,75,6,41,14,10,421010132003011
91,27.3,81,7,43,11,19,421010132003012
60,42.3,59,0,19,24,11,421010132003013
170,30.5,159,8,55,49,41,421010132003014
71,34.1,61,0,30,7,21,421010132003015
49,28.6,46,5,13,6,20,421010132003016
35,32.3,26,3,17,1,4,421010132004000
85,61.5,83,6,5,72,0,421010132004001
315,23.6,168,2,0,153,8,421010132004002
102,37.7,89,2,82,0,5,421010039023013
80,43.0,69,1,60,0,5,421010039023014
52,62.3,46,3,34,1,6,421010039023015
110,50.1,86,0,79,0,5,421010039023017
170,35.4,143,24,95,0,18,421010040011000
136,32.2,103,0,1,95,0,421010071022001
114,33.7,79,0,3,73,0,421010071021006
116,31.5,96,8,5,81,0,421010071021007
134,38.5,100,7,4,84,0,421010071022000
156,37.8,119,4,1,112,0,421010071022002
137,35.5,106,4,0,96,0,421010071022003
127,35.5,88,1,0,83,0,421010071022004
114,34.5,85,5,5,69,0,421010071022005
138,25.7,97,4,1,90,0,421010071022006
151,40.5,118,3,3,108,0,421010071022007
68,40.0,48,0,5,42,0,421010071022008
8,69.0,6,0,0,5,0,421010071023000
121,39.5,87,1,0,84,0,421010071023001
114,41.2,82,1,0,74,0,421010071023002
76,41.8,62,5,5,50,0,421010071023003
152,32.8,107,0,0,100,1,421010071023004
103,35.8,91,3,0,87,0,421010071023005
168,34.3,121,0,2,110,0,421010071023006
93,38.8,70,3,5,59,1,421010071023007
87,29.6,65,4,2,59,0,421010071023008
144,35.6,107,2,9,88,0,421010071024000
126,37.3,84,4,1,73,0,421010071024001
71,27.6,50,0,5,45,0,421010071024002
82,31.3,68,2,0,63,0,421010071024003
84,40.4,72,6,3,61,0,421010071024004
94,50.8,76,0,0,72,0,421010071024005
91,27.3,59,0,0,59,0,421010071024006
135,49.6,98,0,0,95,0,421010071024007
164,36.0,129,4,2,114,1,421010071025000
150,39.5,106,4,2,96,1,421010071025001
135,29.5,90,0,1,87,0,421010071025002
109,34.1,77,7,1,58,2,421010071025003
104,32.5,73,1,1,71,0,421010071025004
130,33.3,102,1,0,99,0,421010071025005
46,57.6,38,6,15,15,0,421010240001001
126,48.0,109,3,103,0,0,421010039023008
102,34.7,90,1,79,0,7,421010039023009
129,47.8,112,2,104,0,6,421010039023010
120,42.0,102,1,98,0,0,421010039023011
143,30.6,107,7,99,0,0,421010039023012
181,77.2,177,29,23,114,9,421010132004004
77,40.3,63,7,18,16,22,421010132004005
86,29.6,68,5,27,13,20,421010132004006
198,28.9,173,11,138,7,10,421010210001008
94,28.2,77,0,71,2,0,421010210001009
105,44.8,100,0,81,16,0,421010210001010
91,27.9,85,6,64,14,0,421010210002000
81,26.9,69,2,62,3,0,421010210002001
120,35.3,112,3,95,3,9,421010210002002
95,35.8,94,0,83,9,1,421010210002003
128,26.6,105,1,91,9,0,421010210002004
57,26.6,47,3,38,0,5,421010210002005
121,33.0,110,2,99,3,5,421010210002006
56,26.0,49,7,40,0,0,421010210002007
33,31.8,28,0,24,1,0,421010210002008
36,37.8,31,1,22,5,1,421010210002009
77,42.3,71,5,58,6,2,421010210003000
123,32.5,114,3,79,11,15,421010210003001
85,31.8,74,6,55,5,2,421010210003002
90,33.5,77,2,63,4,3,421010210003003
112,33.3,103,7,83,8,4,421010210003004
64,35.0,57,1,47,5,2,421010210003005
99,34.3,98,0,96,0,2,421010210003006
108,36.5,99,6,80,4,4,421010210003007
177,28.9,143,0,134,0,2,421010210003008
31,34.1,27,1,24,0,0,421010210003009
31,26.5,24,7,15,0,0,421010210003010
25,38.5,24,8,16,0,0,421010210004000
38,29.5,33,2,22,0,7,421010210004002
31,27.2,27,3,23,0,0,421010210004003
47,37.1,45,2,29,9,0,421010210004004
5,9.8,2,2,0,0,0,421010210004005
16,36.5,14,2,12,0,0,421010210004006
84,24.8,74,6,62,6,0,421010210004007
75,27.8,69,0,59,9,1,421010210004008
83,26.9,73,10,48,7,3,421010210004009
120,26.9,106,12,77,8,5,421010214003003
180,28.7,166,3,140,11,8,421010214003000
162,28.1,161,13,134,2,3,421010214003001
57,27.1,53,0,53,0,0,421010214003002
51,30.2,49,1,46,0,0,421010214003004
110,33.8,103,9,86,0,6,421010214003005
126,29.5,113,5,105,0,0,421010214003006
77,28.8,77,4,60,7,2,421010214003007
80,26.5,80,9,59,9,3,421010214003008
13,22.1,10,1,7,2,0,421010214003009
9,50.2,9,0,0,5,0,421010131001009
13,15.5,5,3,2,0,0,421010131001010
54,32.5,40,2,4,8,26,421010131001014
74,34.5,62,1,24,6,30,421010131001015
82,43.5,79,5,12,61,1,421010131001016
46,38.0,40,3,7,28,0,421010131001017
26,25.0,20,11,0,6,0,421010131001018
15,25.8,10,0,0,4,3,421010003003017
4,44.0,4,0,0,1,0,421010003003015
139,31.4,139,5,92,2,33,421010003003019
7,14.8,3,0,0,3,0,421010003004001
29,32.8,28,7,7,7,0,421010003004002
123,20.3,122,11,91,3,12,421010003004005
19,26.5,15,10,1,1,0,421010003004008
25,29.5,25,0,13,5,5,421010003004009
53,29.8,47,9,26,6,6,421010003004011
3,4.5,1,0,0,0,0,421010003004014
3,39.5,2,1,0,1,0,421010003004015
33,35.5,31,3,3,9,0,421010003004016
43,28.1,39,0,29,1,4,421010003004017
836,29.6,819,72,356,205,158,421010239002005
89,50.2,75,5,43,27,0,421010240001000
100,25.0,77,7,3,65,2,421010240001002
34,32.3,26,1,8,16,0,421010240001003
64,28.5,39,3,3,24,0,421010240001004
43,34.4,34,3,14,17,0,421010240001005
115,32.8,94,4,36,37,16,421010240001006
29,32.5,19,0,9,8,0,421010240001007
127,33.3,99,2,25,69,3,421010240001008
70,23.4,43,8,3,23,0,421010240001009
118,26.5,66,2,10,54,0,421010240001010
255,29.1,210,6,47,145,0,421010240001011
24,37.0,18,0,3,12,0,421010240001012
49,26.1,36,4,0,30,0,421010240001013
82,19.5,43,2,0,39,0,421010240001014
26,19.0,13,5,2,5,0,421010240001015
149,35.4,98,2,0,95,1,421010240001016
131,35.6,113,12,10,87,0,421010240001017
63,33.5,49,4,4,37,0,421010240001018
91,45.8,70,5,14,45,3,421010240001019
122,41.7,109,1,49,56,0,421010240001020
57,46.5,54,10,19,22,0,421010240001021
18,44.0,18,7,5,0,0,421010240002000
166,34.7,157,3,43,108,3,421010240002002
105,29.1,84,2,50,28,2,421010240002003
123,43.8,110,2,23,73,2,421010240002004
64,52.0,55,5,13,31,1,421010240002005
108,33.8,90,8,26,51,2,421010240002006
109,39.5,93,6,19,59,5,421010240002007
370,56.2,338,10,103,177,27,421010240002008
82,45.8,69,2,51,10,2,421010240002009
30,32.5,24,0,17,0,0,421010240002010
87,31.5,77,2,47,11,17,421010131001019
46,41.5,39,2,1,36,0,421010131002000
76,29.0,70,6,56,2,3,421010131002001
30,28.3,27,2,11,0,12,421010131002002
52,30.0,50,1,44,0,2,421010131002004
73,32.1,67,7,46,3,7,421010131002005
44,26.0,31,5,22,3,0,421010131002006
342,25.9,216,8,5,189,4,421010131002007
53,36.3,35,4,0,29,0,421010132001000
37,69.1,37,1,0,36,0,421010132001001
20,55.7,20,0,5,15,0,421010132001002
85,31.3,70,2,4,59,5,421010132001004
26,43.5,22,0,0,20,2,421010132001006
44,52.3,44,6,0,33,0,421010132001007
54,56.0,47,6,0,33,6,421010132001008
51,42.1,43,2,0,34,4,421010132001009
24,61.0,23,0,0,23,0,421010132001010
67,29.4,44,7,4,32,1,421010132001011
59,20.5,31,3,0,28,0,421010132001012
248,25.0,153,4,4,142,1,421010132001013
64,30.6,41,4,2,32,1,421010283003006
46,33.5,34,2,3,29,0,421010283003007
151,36.8,116,8,0,102,3,421010283003008
26,37.6,19,5,0,11,3,421010283004001
112,28.0,69,10,2,45,2,421010283004002
112,47.5,100,14,0,84,0,421010283004003
83,40.5,60,5,0,52,0,421010283004004
109,33.6,88,9,0,79,0,421010283004005
26,42.0,24,9,3,9,0,421010283004006
52,47.5,41,9,0,28,2,421010283004007
37,27.2,25,1,0,14,8,421010283004008
37,30.5,22,6,1,10,1,421010283004009
140,30.3,100,16,2,78,1,421010283004010
144,51.5,118,4,5,99,4,421010283004011
116,33.0,96,3,4,84,0,421010283004012
155,24.6,120,13,4,102,0,421010283004013
162,37.0,104,3,0,101,0,421010283004014
111,33.8,75,4,0,70,0,421010283004015
117,37.8,83,23,0,60,0,421010283004016
96,34.5,71,7,0,54,2,421010283004017
174,28.0,117,1,4,109,0,421010067001014
78,40.2,61,2,0,43,16,421010067001011
127,37.5,96,1,6,75,10,421010067001013
82,29.5,53,2,7,30,12,421010067001015
78,27.3,60,0,0,52,0,421010067002000
69,47.3,48,12,0,25,8,421010067002001
121,39.4,99,3,3,70,18,421010067002002
183,25.8,118,8,14,93,3,421010067002003
173,30.4,111,0,12,94,0,421010067002004
69,27.5,51,1,0,39,0,421010067002005
32,41.0,27,3,20,0,2,421010214003010
124,27.5,116,13,93,1,7,421010214003011
74,34.1,66,3,47,5,0,421010214004000
156,31.2,130,12,111,6,1,421010214004001
109,32.5,92,2,80,0,2,421010214004002
26,28.5,17,0,13,0,4,421010214004003
57,27.5,50,8,36,4,2,421010214004004
69,32.7,62,4,49,7,0,421010214004005
75,32.3,72,5,58,3,0,421010214004006
180,30.8,170,3,141,18,8,421010214004007
149,31.1,140,3,118,6,2,421010214004008
61,32.6,54,2,51,1,0,421010214004009
47,35.3,44,4,30,6,4,421010214004010
16,65.5,13,3,7,0,2,421010214004011
39,28.5,35,0,32,0,0,421010214004012
129,26.3,116,13,97,3,0,421010214005000
44,27.3,41,0,38,0,3,421010214005001
57,34.4,52,2,27,12,1,421010214005002
107,26.8,107,2,90,8,0,421010214005003
39,26.5,33,2,29,0,0,421010214005004
3,27.5,2,0,0,0,0,421010214005005
77,25.9,76,4,68,1,0,421010214005008
33,30.6,30,3,21,1,3,421010214005009
12,19.0,6,2,0,4,0,421010263023005
92,36.5,71,0,2,62,0,421010263023002
121,32.9,83,1,2,79,0,421010263023003
48,38.0,39,0,0,33,3,421010263023004
97,45.5,78,1,10,65,2,421010263023006
153,45.5,120,7,0,111,0,421010263023007
9,16.5,4,0,0,3,0,421010263023008
54,45.0,45,5,4,29,2,421010263023009
75,33.8,55,1,0,50,1,421010263024000
64,44.5,47,4,0,40,0,421010263024001
131,38.1,103,1,0,94,0,421010263024002
237,47.3,205,3,0,197,0,421010263024003
139,34.8,116,0,2,105,1,421010263024004
218,45.7,175,0,0,168,0,421010263024005
31,47.5,25,0,0,25,0,421010263024006
125,37.9,91,2,0,84,4,421010263024007
226,51.1,193,3,5,185,0,421010263024008
