P1_001N,P13_001N,P11_001N,P11_002N,P11_005N,P11_006N,P11_008N,geo_id
14,17.5,6,0,0,5,0,421010169022001
77,42.4,59,0,1,52,0,421010169022002
78,30.0,61,1,1,54,0,421010169022003
46,36.5,40,0,1,33,0,421010169022004
183,35.0,166,8,142,11,0,421010207012005
203,34.9,185,15,130,19,5,421010207012006
89,44.5,78,2,62,3,2,421010207012007
154,34.4,135,0,121,5,8,421010207012009
106,33.2,92,2,68,10,7,421010207012010
111,36.4,103,16,72,7,7,421010207012011
62,30.3,50,2,31,14,0,421010207012014
30,32.0,26,2,17,0,0,421010207012015
108,32.9,105,14,83,8,0,421010207012016
46,29.4,42,1,37,0,4,421010207012017
64,44.7,55,3,52,0,0,421010207013000
64,49.0,55,3,46,3,0,421010207013001
99,40.1,81,2,56,7,8,421010207013002
147,32.1,119,10,87,7,11,421010207013003
88,33.6,78,4,63,11,0,421010207013004
168,33.0,154,2,129,10,12,421010207013005
86,31.8,81,4,71,2,1,421010207013006
91,31.3,81,1,73,1,0,421010207013007
13,24.5,9,3,2,2,0,421010207013008
108,31.4,102,5,73,13,3,421010207021000
213,28.5,164,3,57,81,22,421010207021001
60,69.3,57,0,3,48,0,421010207021002
75,26.8,50,8,0,30,2,421010207021003
88,33.6,69,7,10,40,12,421010207021004
122,35.7,96,3,0,83,3,421010169021002
65,27.8,44,1,2,40,0,421010169021003
34,39.6,25,1,0,23,1,421010207021005
109,46.5,96,10,58,17,10,421010207021006
61,34.1,51,6,33,5,7,421010207021007
56,30.7,40,8,1,22,0,421010253003004
92,32.5,63,4,9,41,0,421010253003001
102,42.0,98,8,10,70,5,421010253003002
148,49.0,121,1,12,103,0,421010253003003
75,37.5,60,10,0,48,0,421010253003005
164,38.5,123,3,11,101,6,421010253003006
20,32.5,13,5,0,1,2,421010253003007
76,44.3,61,3,14,41,3,421010253004000
87,53.3,73,0,12,57,1,421010253004001
75,27.2,55,4,9,40,2,421010253004002
72,58.2,54,2,8,39,2,421010253004003
108,35.5,80,2,23,48,2,421010253004004
135,28.5,89,1,13,61,0,421010253004005
194,35.8,146,1,18,119,2,421010253004006
82,53.5,73,1,6,62,0,421010253005000
97,36.2,74,1,14,55,1,421010253005001
56,41.5,47,0,8,38,0,421010253005002
172,34.8,132,1,14,107,0,421010253005003
